1;Faire preuve de curiosité.
2;Concentrer ses efforts et investir l’énergie nécessaire pour faire du bon travail, voir à se dépasser, et pour satisfaire aux normes de qualité et de rendement en vigueur dans l’entreprise. 
3;Porter un intérêt soutenu au travail.  Faire preuve de persévérance et de volonté.
4;Être de bonne humeur.  Éprouver du plaisir à travailler 
5;Accepter volontiers, et avec ouverture d’esprit, la critique ou les suggestions sur son travail ou sur son comportement.
6;Être capable de bien réagir devant les difficultés.
7;Avoir un comportement responsable.
8;Gérer convenablement son stress : rester calme dans des circonstances imprévues,  conserver son sang-froid face à des situations difficiles. 
9;Faire preuve d’initiatives. 
10;Être capable de prendre des décisions.
11;Être capable d’apprendre de façon autonome.
12;Avoir un esprit inventif. 
13;Utiliser un langage respectueux.
14;Respecter les valeurs véhiculées dans l’entreprise.
15;Respecter les conventions, règles ou normes en vigueur.
16;Respecter ses engagements.
17;S’initier rapidement à de nouvelles méthodes de travail. 
18;Se conformer sans difficulté aux standards  et procédures de l’entreprise.
19;Changer, au besoin, sa façon de faire.
20;S’habituer facilement à de nouveaux outils.
21;Adopter des comportements qui conviennent aux nouvelles situations
22;Accomplir les tâches en respectant les directives, les contraintes, les normes de qualité et le temps alloué. 
23;Être capable de travailler assidûment.
24;Agir efficacement.
25;Prendre des initiatives pertinentes et justifiées. 
26;Bien cerner le projet ou l’activité et comprendre les tâches à accomplir. 
27;Poser des questions pertinentes pour clarifier les demandes, les attentes et les contraintes.
28;Organiser et gérer efficacement son temps de travail.  Savoir établir des priorités. 
29;Vérifier son travail afin d’éviter les erreurs et de ne pas oublier d’éléments reliés à la tâche. 
30;Utiliser les ressources mises à sa disposition de manière responsable (travailler de façon sécuritaire, manipuler avec précaution les outils mis à sa disposition et les maintenir en bon ordre). 
31;S’intégrer sans difficulté dans un nouveau groupe de personnes. 
32;Établir et entretenir des rapports de confiance et de respect.
33;Adapter son niveau de langage à son interlocuteur.
34;Tenir compte du point de vue des autres et reconsidérer, s’il y a lieu, son propre point de vue. 
